cena klienta,km ³adowne,czas,data 1 za³adunku,data ost roz³adunku,wsp za³,wsp za³,wsp roz³ad,wsp roz³ad,,wylkm,roznicakm,%
212,405,-0.458333333,14/09/04 23:00,14/09/04 12:00,49.18800000,1.81180000,51.2,5.0167,,319,86,78.7654321
600,620,0.791666667,14/09/08 13:00,14/09/09 8:00,51.30000000,5.00000000,51.85,12.1,,494,126,79.67741935
140,404,0.75,14/09/09 14:00,14/09/10 8:00,52.31670000,12.45000000,51.3333,17.1833,,343,61,84.9009901
730,776,1.791666667,14/09/16 13:00,14/09/18 8:00,51.10000000,16.56670000,50.9026,7.2584,,651,125,83.89175258
1250,857,1.125,14/09/18 8:00,14/09/19 11:00,51.02370000,6.26750000,45.6329,6.0142,,599,258,69.8949825
1000,619,1.333333333,14/09/22 8:00,14/09/23 16:00,46.90010000,4.38830000,43.4506,1.6773,,438,181,70.75928918
660,913,2,14/09/24 8:00,14/09/26 8:00,43.97430000,2.10390000,43.8831,10.795,,695,218,76.12267251
800,991,1.833333333,14/03/03 16:00,14/03/05 12:00,50.65410000,3.95230000,46.6952,11.3541,,698,293,70.43390515
1700,1049,3.916666667,14/03/06 16:00,14/03/10 14:00,46.26170000,11.23710000,45.9698,1.3333,,763,286,72.73593899
370,523,1,14/03/10 8:00,14/03/11 8:00,46.07600000,0.81900000,49.2483,3.5105,,406,117,77.6290631
670,732,1.041666667,14/03/12 11:00,14/03/13 12:00,48.60360000,5.15250000,53.2889,8.7906,,579,153,79.09836066
420,430,0.958333333,14/03/13 8:00,14/03/14 7:00,52.70410000,9.11430000,51.85,14.2167,,359,71,83.48837209
630,775,0.458333333,14/03/19 21:00,14/03/20 8:00,50.69170000,11.70000000,46.0562,12.5377,,519,256,66.96774194
1300,806,2.833333333,14/03/21 16:00,14/03/24 12:00,45.69220000,12.10830000,48.687,7.4897,,482,324,59.80148883
700,930,2,14/03/24 8:00,14/03/26 8:00,49.30270000,6.70060000,45.6236,12.1531,,578,352,62.15053763
1350,724,1,14/03/26 16:00,14/03/27 16:00,46.08670000,12.35170000,46.4057,5.2258,,548,176,75.69060773
550,561,3,14/03/28 8:00,14/03/31 8:00,46.38570000,5.52800000,48.7895,2.451,,353,208,62.92335116
925,887,2,14/03/31 8:00,14/04/02 8:00,48.58330000,2.95000000,43.9415,7.3135,,615,272,69.33483653
450,565,0.625,14/04/07 17:00,14/04/08 8:00,48.45000000,7.78330000,52.2667,10.5833,,468,97,82.83185841
280,267,1.083333333,14/04/08 7:00,14/04/09 9:00,52.81670000,10.60000000,52.9491,13.241,,177,90,66.29213483
700,679,0.833333333,14/04/16 16:00,14/04/17 12:00,49.10000000,11.93330000,45.695,9.3747,,424,255,62.44477172
2350,1200,4,14/04/18 8:00,14/04/22 8:00,45.96660000,11.73400000,48.4667,0.7,,877,323,73.08333333
950,898,2,14/04/22 8:00,14/04/24 8:00,49.36100000,1.34020000,42.881,2.7933,,729,169,81.18040089
1300,663,4.041666667,14/04/24 8:00,14/04/28 9:00,41.76670000,2.01670000,46.1399,2.8406,,490,173,73.90648567
800,590,1.708333333,14/04/28 15:00,14/04/30 8:00,46.22280000,3.20230000,43.7924,6.5374,,376,214,63.72881356
1600,807,4.916666667,14/04/30 17:00,14/05/05 15:00,44.69620000,7.51970000,49.3351,8.5308,,521,286,64.56009913
670,662,0.770833333,14/05/05 16:00,14/05/06 10:30,49.83260000,8.36190000,52.5024,13.5355,,466,196,70.39274924
535,633,0.875,14/05/19 15:00,14/05/20 12:00,48.45040000,12.52150000,46.5042,9.3966,,319,314,50.39494471
850,428,0.875,14/05/20 17:00,14/05/21 14:00,45.90020000,9.03550000,45.8305,5.1092,,304,124,71.02803738
550,473,1,14/05/21 8:00,14/05/22 8:00,45.70130000,5.13960000,43.9894,7.184,,249,224,52.64270613
950,509,2.833333333,14/05/23 15:00,14/05/26 11:00,45.04550000,7.71920000,46.8221,3.7695,,363,146,71.31630648
